大学,schoolID,院系
大连海事大学,5004,航海学院,轮机工程学院,船舶电气工程学院,信息科学技术学院,交通运输工程学院,航运经济与管理学院,船舶与海洋工程学院,环境科学与工程学院,法学院,外国语学院,公共管理与人文艺术学院,马克思主义学院,理学院,体育工作部,创新创业学院,继续教育学院,专业学位教育学院,航海训练与工程实践中心,航运发展研究院,留学生教育中心,国际联合学院,其它院系
东北财经大学,5005,财政税务学院,创新创业与实验教学中心,财经干部教育中心,金融学院,经济学院,培训与继续教育学院,网络教育学院,法学院,会计学院,人文与传播学院,应用金融与行为科学学院,工商管理学院（MBA教育中心）,公共管理学院,管理科学与工程学院,国际经济贸易学院,国际商务外语学院,国际商学院、跨境教育中心,国际教育学院、留学生办公室,高等经济研究院,高等职业技术学院,旅游与酒店管理学院、萨里国际学院,数学学院,马克思主义学院,统计学院,投资工程管理学院,体育教学部,其它院系
大连交通大学,5007,土木与安全工程学院,交通运输工程学院,外国语学院,理学院,机械工程学院,材料科学与工程学院,爱恩国际学院,环境与化学工程学院,电气信息学院,研究生部,经济管理学院,艺术学院,动车运用与维护工程学院,软件学院,马克思主义学院,成人教育学院,信息学院,创新创业教育学院,其它院系
大连医科大学,5008,公共卫生学院,护理学院,口腔医学院,国际教育学院,基础医学院,艺术学院,检验医学院,研究生院,药学院,中西医结合学院,人文与社会科学学院（马克思主义学院）,其它院系
辽宁师范大学,5009,研究生院（研究生工作部）,文学部,法学院,马克思主义学院,外国语学院,历史文化旅游学院,教育学院（田家炳教育书院）,政府管理学院,数学学院,物理与电子技术学院,化学化工学院（实验中心、功能化学材料研究所）,生命科学学院,地理科学学院,计算机与信息技术学院,体育学院,美术学院,音乐学院,国际商学院,国际教育学院,继续教育学院,影视艺术学院,心理学院,其它院系
河北工业大学,6003,人文与法律学院,电子信息工程学院,化工学院,国际教育学院,土木工程学院,外国语学院,建筑与艺术设计学院,机械工程学院,材料科学与工程学院,理学院,电气工程学院,研究生学院,经济管理学院,能源与环境工程学院,计算机科学与软件学院,控制科学与工程学院,海洋科学与工程学院,马克思主义学院,土木与交通学院,人工智能与数据科学学院,体育部,继续教育学院,其它院系
天津师范大学,6004,体育科学学院,初等教育学院,化学学院,历史文化学院,国际交流学院,城市与环境科学学院,外国语学院,学前教育学院（高职学院）,生命科学学院,软件学院,音乐与影视学院,政治与行政学院,教育科学学院,数学科学学院,文学院,新闻传播学院,法学院,津沽学院,物理与材料科学学院,管理学院,经济学院,美术与设计学院,教师教育学院,计算机与信息工程学院,马克思主义学院,电子与通信工程学院,其它院系
天津科技大学,6006,机械工程学院,电子信息与自动化学院,食品科学与工程学院,化工与材料学院,生物工程学院,海洋与环境学院,轻工科学与工程学院,艺术设计学院,经济与管理学院,文法学院,人工智能学院,理学院,外国语学院,马克思主义学院,其它院系
天津理工大学,6007,化学化工学院,华信软件学院,国际工商学院,国际教育学院,外国语学院,机械工程学院,材料科学与工程学院,法政学院,海运学院,环境科学与安全工程学院,理学院,电子信息工程学院,管理学院,自动化学院,艺术学院,聋人工学院,计算机与通信工程学院,汉语言文化学院,其它院系
天津医科大学,6008,国际医学院,公共卫生学院,医学人文学院,医学影像学院,医学检验学院,口腔医学院,基础医学院,医学英语与健康传媒学院,护理学院,生物医学工程学院,眼视光学院,药学院,康复与运动医学系,其它院系
天津中医药大学,6009,中药学院,中医学院,护理学院,研究生院,针灸推拿学院,中西医结合学院,管理学院,语言文化学院,体育健康学院,国际教育学院,中药制药工程学院,其它院系
中国科学技术大学,7001,环境科学与光电技术学院,信息科学技术学院,工程科学学院,核科学技术学院,化学与材料科学学院,地球和空间科学学院,少年班学院,数学科学学院,物理学院,生命科学学院,人文与社会科学学院,管理学院,公共事务学院,计算机科学与技术学院,软件学院,软件工程（研究生）,软件工程（自动化系）,其它院系
合肥工业大学,7003,仪器科学与光电工程学院,化学与化工学院,土木与水利工程学院,外国语学院,建筑与艺术学院,机械与汽车工程学院,材料科学与工程学院,数学学院,生物与食品工程学院,电气与自动化工程学院,研究生院,管理学院,经济学院,计算机与信息学院,资源与环境工程学院,技师学院,马克思主义学院,电子科学与应用物理学院,微电子学院,交通运输工程学院,软件学院,医学工程学院,其它院系
安徽医科大学,7004,研究生学院,基础医学院,公共卫生学院,口腔医学院,卫生管理学院,药学院,护理学院,马克思主义学院,生命科学学院,生物医学工程学院,第一临床医学院,第二临床医学院,巢湖临床医学院,国际教育学院,人文医学学院,临床医学院,继续教育学院,临床药理研究所,其它院系
安徽建筑大学,7005,土木工程学院,外国语学院,建筑与规划学院,数理学院,机械与电气工程学院,材料与化学工程学院,法律与政治学院,环境与能源工程学院,电子与信息工程学院,管理学院,艺术学院,继续教育学院,研究生部,其它院系
安徽中医药大学,7006,中医临床学院,中西医结合临床学院,医药信息工程学院,医药经济管理学院,护理学院,人文学院,药学院,针灸骨伤临床学院,国际教育交流学院,其它院系
南京师范大学,8003,心理学院,体育科学学院,公共管理学院,能源与机械工程学院,化学与材料科学学院,商学院,国际文化教育学院,地理科学学院,外国语学院,马克思主义学院,强化培养学院,教师教育学院,教育科学学院,数学科学学院,计算机科学与技术学院,文学院,新闻与传播学院,法学院,物理科学与技术学院,生命科学学院,电气与自动化工程学院,社会发展学院,美术学院,金陵女子学院,音乐学院,人民武装学院,其它院系
南京理工大学,8004,公共事务学院,能源与动力工程学院,化工学院,外国语学院,机械工程学院,材料科学与工程学院,理学院,电子工程与光电技术学院,经济管理学院,自动化学院,计算机科学与工程学院,设计艺术与传媒学院,环境与生物工程学院,教育实验学院,知识产权学院,紫金学院,钱学森学院,马克思主义学院,国际教育学院,创新创业教育学院,继续教育学院,中法工程师学院,泰州科技学院,其它院系
南京航空航天大学,8006,电子信息工程学院,外国语学院,材料科学与技术学院,机电学院,理学院,航天学院,民航学院(飞行学院),自动化学院,研究生院,经济与管理学院,计算机科学与技术学院,能源与动力学院,航空宇航学院,艺术学院,人文与社会科学学院,国际教育学院,继续教育学院,航空学院,人工智能学院,马克思主义学院,长空学院,金城学院,正德学院,其它院系
南京财经大学,8007,经济学院,财政与税务学院,金融学院,国际经贸学院,会计学院,工商管理学院,营销与物流管理学院,公共管理学院,马克思主义学院,法学院,食品科学与工程学院,信息工程学院,外国语学院,艺术设计学院,管理科学与工程学院,应用数学学院,新闻学院,体育部,MBA教育中心,艺术教育中心,宿迁学院商学院,其它院系
南京医科大学,8008,青岛临床医学院,上海十院临床医学院,连云港临床医学院,无锡临床医学院,公共卫生学院,医政学院,口腔医学院,国际教育学院,基础医学院,外国语学院,护理学院,第一临床医学院,第三临床医学院,第二临床医学院,第四临床医学院,药学院,鼓楼临床医学院,金陵临床医学院,上海东方临床医学院,其它院系
南京工业大学,8009,计算机科学与技术学院（软件工程学院）,食品与轻工学院,生物与制药工程学院,化工学院,能源科学与工程学院,土木工程学院,城市建设学院,外国语言文学学院,建筑学院,交通运输工程学院,测绘科学与技术学院,机械与动力工程学院,马克思主义学院,材料科学与工程学院,法学院,环境科学与工程学院,数理科学学院,经济与管理学院（商学院）,电气工程与控制科学学院,艺术设计学院,安全科学与工程学院,化学与分子工程学院,药学院,医学院,中国棒垒球学院,2011学院,海外教育学院,其它院系
浙江理工大学,9002,启新学院,信息学院,独立学院,外国语学院,建筑工程学院,马克思主义学院,继续教育学院,文化传播学院,服装学院,机械与自动控制学院,材料与纺织学院,法政学院,理学院,生命科学学院,经济管理学院,艺术与设计学院,高等职业技术学院,其它院系
杭州电子科技大学,9004,人文与法学院,外国语学院,卓越学院,材料与环境工程学院,数字媒体与艺术设计学院,机械工程学院,生命信息与仪器工程学院,理学院,电子信息学院,研究生部,管理学院,经济学院,自动化学院,计算机学院,会计学院,软件工程学院,通信工程学院,马克思主义学院,国际教育学院,浙江保密学院,国防科技学院,其它院系
浙江中医药大学,9005,第一临床医学院,第二临床医学院,第三临床医学院/康复医学院,第四临床医学院,基础医学院/公共卫生学院,口腔医学院,药学院,护理学院,医学技术学院,生命科学学院,人文与管理学院,滨江学院、富春校区管委会,中医药科学院,继续教育学院、成人教育学院,国际教育学院,马克思主义学院,体育部,教师教学发展中心、高教研究所,信息与教育技术中心,学报编辑部,其它院系
浙江工商大学,9006,人文与传播学院,人民武装学院,信息与电子工程学院,公共管理学院,外国语学院,工商管理学院,旅游与城市管理学院,日本语言文化学院,环境科学与工程学院,法学院、知识产权学院,章乃器学院、创业学院,经济学院,统计与数学学院,艺术设计学院,计算机与信息工程学院,财务与会计学院,金融学院,食品与生物工程学院,国际教育学院,MBA学院、现代商贸中心,马克思主义学院,其它院系
中国计量大学,9007,机电工程学院,计量测试工程学院,信息工程学院,光学与电子科技学院,材料与化学学院,质量与安全工程学院,经济与管理学院,理学院,生命科学学院,法学院（知识产权学院）,人文与外语学院,艺术与传播学院,标准化学院,马克思主义学院,量新学院,国际教育学院,体育军事部,工程训练中心,继续教育学院,现代科技学院,其它院系
浙江科技学院,9008,外国语学院/中德学院,信息与电子工程学院,人文与国际教育学院,土木与建筑工程学院,艺术设计与服装学院,机械与汽车工程学院,自动化与电气工程学院,理学院,生物与化学工程学院/轻工学院,经济管理学院,其它院系
西安交通大学,10001,人居环境与建筑工程学院,公共政策与管理学院,医学部,机械工程学院,材料科学与工程学院,法学院,理学院,生命科学与技术学院,电子与信息工程学院,电气工程学院,管理学院,经济与金融学院,网络教育学院,能源与动力工程学院,航天航空学院,戏剧学院,软件学院,人文社会科学学院,外国语学院,化学工程与技术学院,数学与统计学院,馥莉食品装备工程与科学学院,马克思主义学院,新闻学院,国际教育学院,可持续发展学院,数学学院,物理学院,化学学院,前沿院,机械学院,电气学院,能动学院,材料学院,人居学院,生命学院,化工学院,经金学院,公管学院,人文学院,新媒体学院,继续教育学院,创新创业学院,彭康书院,文治书院,宗濂书院,启德书院,仲英书院,励志书院,崇实书院,南洋书院,钱学森书院,其它院系
长安大学,10002,体育部（体育系）,信息工程学院,公路学院,地质工程与测绘学院,地球科学与资源学院,外国语学院,工程机械学院,建筑工程学院,建筑学院,材料科学与工程学院,汽车学院,环境科学与工程学院,理学院,电子与控制工程学院,经济与管理学院,政治与行政学院,文学艺术与传播学院,国际教育学院,其它院系
西北工业大学,10003,人文与经法学院,力学与土木建筑学院,动力与能源学院,外国语学院,教育实验学院,机电学院,材料学院,理学院,生命学院,电子信息学院,研究生院,管理学院,网络教育学院,自动化学院,航天学院,航海学院,航空学院,计算机学院,软件与微电子学院,国际教育学院,保密学院,数学与统计学院,物理科学与技术学院,化学与化工学院,软件学院,国家保密学院,马克思主义学院,西北工业大学伦敦玛丽女王大学工程学院,微电子学院,网络空间安全学院,民航学院,生态环境学院,其它院系
陕西师范大学,10005,体育学院,历史文化学院,国际商学院,国际汉学院,外国语学院,政治经济学院（马克思主义学院）,教育学院,数学与信息科学学院,文学院,新闻与传播学院,旅游与环境学院,民族教育学院,物理学与信息技术学院,生命科学学院,远程教育学院,美术学院,计算机科学学院,音乐学院,食品工程与营养科学学院,心理学院,化学化工学院,材料科学与工程学院,其它院系
西安电子科技大学,10006,通信工程学院,电子工程学院,计算机科学与技术学院（示范性软件学院）,机电工程学院,物理与光电工程学院,经济与管理学院,数学与统计学院,人文学院,外国语学院,微电子学院,生命科学技术学院,空间科学与技术学院,先进材料与纳米科技学院,网络与信息安全学院,人工智能学院,马克思主义学院,体育部,网络与继续教育学院,前沿交叉研究院,其它院系
西安理工大学,10007,人文与外国语学院,印刷包装与数字媒体学院,经济与管理学院,机械与精密仪器工程学院,材料科学与工程学院,水利水电学院,理学院,自动化与信息工程学院,艺术与设计学院,计算机科学与工程学院,土木建筑工程学院,国防生教育学院（海军）,研究生院,其它院系
西安科技大学,10008,人文与外国语学院,体育部,化学与化工学院,地质与环境学院,建筑与土木工程学院,机械工程学院,材料科学与工程学院,测绘科学与技术学院,电气与控制工程学院,管理学院,继续教育学院,能源学院,艺术学院,计算机科学与技术学院,通信与信息工程学院,理学院,其它院系
西安工业大学,10009,中澳国际学院,人文学院,体育系,信息与工程管理系,光电工程学院,北信学院,北方信息工程学院,外国语系,工业设计,应用技术学院,建筑工程系,数理系,服装与艺术设计学院,服装学院,机电工程学院,材料与化工学院,模具设计与制造,环境与化学工程学院,理学院,电子信息工程学院,电工电子实验教学中心,空军工程大学,管理学院,纺织与材料学院,经济管理学院,继续教育学院,艺术与传媒学院,艺术工程学院,计算机科学与工程学院,计算机科学学院,高职学院,其它院系
北京交通大学,10013,交通运输学院,人文社会科学学院,威海国际学院,建筑与艺术学院,土木建筑工程学院,机械与电子控制工程学院,法学院,理学院,电子信息工程学院,电气工程学院,经济管理学院,计算机与信息技术学院,语言与传播学院,软件学院,其它院系
中国矿业大学（北京）,10014,力学与建筑工程学院,化学与环境工程学院,文法学院,机电与信息工程学院,理学院,管理学院,资源与安全工程学院,地球科学与测绘工程学院,安全科学技术学院,其它院系
中国政法大学,10018,法律硕士学院,人文学院,刑事司法学院,商学院,国际儒学院,国际教育学院,国际法学院,外国语学院,政治与公共管理学院,光明新闻传播学院,民商经济法学院,法学院,研究生院,社会学院,马克思主义学院,中欧法学院,孔子学院（与班戈大学共建）,孔子学院（与布加勒斯特大学共建）,孔子学院（与巴巴多斯西印度大学凯夫希尔分校共建）,其它院系
对外经济贸易大学,10019,中国语言文学学院,国际关系学院,保险学院,信息学院,公共管理学院,国际学院,国际商学院,国际经济贸易学院,外语学院,法学院,研究生部,英语学院,远程教育学院,金融学院,高等职业教育学院,高级研修学院,统计学院,中法国际工商管理学院,其它院系
中国地质大学（北京）,10021,人文经管学院,信息工程学院,土地科学技术学院,地球物理与信息技术学院,地球科学与资源学院,外国语学院,工程技术学院,材料科学与工程学院,水资源与环境学院,海洋学院,珠宝学院,能源学院,数理学院,思想政治教育学院,经济管理学院,马克思主义学院,体育部,继续教育学院,其它院系
中国科学院大学,10022,数学科学学院,物理科学学院,核科学与技术学院,天文与空间科学学院,工程科学学院,人工智能学院,化学科学学院,化学工程学院,材料科学与光电技术学院,光电学院,纳米科学与技术学院,未来技术学院,地球与行星科学学院,资源与环境学院,生命科学学院,现代农业科学学院,存济医学院,计算机科学与技术学院,网络空间安全学院,电子电气与通信工程学院,微电子学院,经济与管理学院,公共政策与管理学院,知识产权学院,人文学院,马克思主义学院,创新创业学院,艺术中心,外语系,心理学系,中丹学院,国际学院,卡弗里理论科学研究所,中科院北京纳米能源与系统研究所,环境材料与污染控制技术研究中心,继续教育学院,其它院系
中央财经大学,10025,国际文化交流学院,会计学院,体育经济与管理学院,保险学院,信息学院,商学院,国际经济与贸易学院,外国语学院,政府管理学院,文化与传媒学院,法学院,社会发展学院,税务学院,管理科学与工程学院,经济学院,统计与数学学院,财政学院,金融学院,马克思主义学院,培训学院,财政税务学院,社会与心理学院,继续教育学院,其它院系
中国石油大学（北京）,10027,马克思主义学院（人文社会科学学院）,地球物理与信息工程学院,化学工程学院,地球科学学院,外国语学院,工商管理学院,理学院,机械与储运工程学院,石油工程学院,国际学院,石油学院,工学院,文理学院,地质学系,油气勘探与开发地质系,盆地与油藏研究中心,油气井工程系,化学工程与环境学院,地球物理学院,安全与海洋工程学院,新能源与材料学院,信息科学与工程学院,经济管理学院,体育与人文艺术学院,人工智能学院,非常规油气科学技术研究院,油气田开发工程系,工程力学系,化学工艺系,化学工程系,环境科学系,环境工程系,能源与催化工程系,机电工程系,油气储运工程系,热能工程系,过程装备系,物探系,测井系,固体地球物理系,海洋油气工程系,安全工程系,材料科学与工程系,新能源科学与工程系,自动化系,计算机科学与技术系,电子信息工程系,软件工程系,数学系,物理系,应用化学系,会计系,管理科学与工程系,应用经济系,企业管理系,金融系,英语系,地质与地球物理研究所,储层改造与开发工程研究所,提高采收率研究所,网络与继续教育学院,其它院系
华北电力大学（北京校区）,10033,人文与社会科学学院,可再生能源学院,外国语学院,经济与管理学院,控制与计算机工程学院,数理学院,环境科学与工程学院,电气与电子工程学院,能源动力与机械工程学院,核科学与工程学院,国际教育学院,新能源学院,核科学与工程学院,水利与水电工程学院,马克思主义学院,继续教育学院,孔子学院,其它院系
北京建筑大学,10045,土木与交通工程学院,建筑与城市规划学院,文法学院,机电与车辆工程学院,测绘与城市空间信息学院,环境与能源工程学院,理学院,电气与信息工程学院,经济与管理工程学院,国际教育学院,其它院系
北京印刷学院,10046,印刷与包装工程学院,新闻出版学院,设计艺术学院,新媒体学院,机电工程学院,信息工程学院,经济管理学院,马克思主义学院,职业与继续教育学院,国际教育学院,基础部,外语部,体育部,其它院系
北京农学院,10049,动物科学技术学院,园林学院,国际学院,文法学院,植物科学技术学院,生物科学与工程学院,经济管理学院,食品科学与工程学院,城乡发展学院,计算机与信息工程学院,其它院系
燕京理工学院,10063,信息科学与技术学院,国际商学院,文法学院,会计学院,艺术学院,国际教育学院,工学院,生命与健康学院,建筑学院,传媒学院,其它院系
北京农业职业学院,10075,信息技术系,园艺系,文秘法律系,水利与建筑工程系,畜牧兽医系,经济管理系,现代服务管理系,财会金融系,食品与生物工程系,其它院系
吉利学院,10082,文化艺术学院,信息工程学院,动漫与游戏学院,旅游学院,商学院,物流学院,健康产业学院,新闻与传信息播学院,欧美国际学院,汽车学院,法政学院,艺术设计学院,房地产学院(万科物业学院),金融证券学院,外国语学院,其它院系
北大方正软件技术学院,10088,传媒艺术分院,网络工程分院,软件工程分院,电子工程分院,财经管理分院,国际商务分院,民用航空技术分院,卫生分院,其它院系
北京人文研修学院,10090,艺术学院,人文学院,舞蹈学院,管理学院,工程学院,国学院,其它院系
北京应用技术专修学院,10092,环境艺术设计,计算机科学与应用,呼叫中心服务与管理,航空服务与管理,其它院系
中国音乐学院,10094,作曲系,声乐歌剧系,继续教育学院,指挥系,国乐系,社会科学部,管弦系,艺术管理系,钢琴系,音乐学系,音乐教育系,音乐科技系,其它院系
北京青年政治学院,10096,传播系,文秘与法律系,社会工作系,管理系,艺术设计系,英语系,计算机系,青少年教育与管理系,国际学院,其它院系
华中科技大学,11002,机械科学与工程学院,计算机科学与技术学院,生命科学与技术学院,电气与电子工程学院,材料科学与工程学院,船舶与海洋工程学院,能源与动力工程学院,人工智能与自动化学院,光学与电子信息学院,水电与数字化工程学院,软件学院,环境科学与工程学院,电子信息与通信学院,建筑与城市规划学院,土木工程与力学学院,化学与化工学院,数字与统计学院,物理学院,公共管理学院,经济学院,管理学院,人文学院,新闻与信息传播学院,马克思主义学院,社会学院,法学院,外国语学院,基础医学院,药学院,医药卫生管理学院,公共卫生学院,法医学系,护理学院,生殖健康研究所,第一临床学院,第二临床学院,第三临床学院,远程与继续教育学院,教育科学研究院,中欧清洁与可再生能源学院,体育学院,武汉光电国家研究中心,工程科学学院,武汉国际微电子学院,航空航天学院,网络空间安全学院,其它院系
华中农业大学,11003,植物科学技术学院,动物科学技术学院、动物医学院,资源与环境学院,生命科学技术学院,园艺林学学院,水产学院,工学院,经济管理学院,食品科学技术学院,理学院,文法学院,外国语学院,体育部,马克思主义学院,公共管理学院,信息学院,生物医学与健康学院,其它院系
武汉理工大学,11004,材料科学与工程学院,材料科学与工程国际化示范学院,交通学院,汽车工程学院,机电工程学院,能源与动力工程学院,土木工程与建筑学院,资源与环境工程学院,信息工程学院,计算机科学与技术学院,自动化学院,航运学院,物流工程学院,理学院,化学化工与生命科学学院,管理学院,经济学院,艺术与设计学院,外国语学院,马克思主义学院,法学与人文社会学院,安全科学与应急管理学院,国际教育学院,创业学院,体育部,新材料研究所,光纤传感技术研究中心,硅酸盐材料工程研究中心,智能交通系统研究中心,道路桥梁与结构工程技术研究中心,继续教育学院,武汉理工大学艾克斯马赛学院,其它院系
中国地质大学（武汉）,11005,地学院,资源学院,材化学院,环境学院,工程学院,地空学院,机电学院,经济管理学院,外语学院,信工学院,数理学院,体育课部,珠宝学院,艺媒学院,公管学院,马克思主义学院,计算机学院,自动化学院,海洋学院,其它院系
